,id,PlayerID
0,112077,3130
23,112223,3139
50,277412,6334
66,112461,3148
82,112897,3157
96,133225,5810
128,136660,5906
166,113344,4838
174,216194,6104
185,279577,6232
224,235097,5678
240,115803,4920
260,115861,4926
263,115902,5344
276,116747,3325
295,116768,6434
304,137002,5781
336,117566,3351
352,117747,3359
355,118609,3395
374,150440,6147
382,118943,5580
385,206551,6179
411,277418,6344
418,341392,6612
428,120405,5091
431,131700,5745
451,150010,6269
466,121060,5117
481,121353,5455
499,132620,5333
517,134360,5332
530,122544,3554
545,276546,6338
552,123743,3608
567,124695,3637
583,111241,4776
597,400091,6192
628,276361,6316
656,407154,6650
685,406324,6403
702,133224,5747
711,276376,6182
741,122251,5548
758,400085,6560
834,346801,6565
852,346874,6613
893,124343,5672
912,407853,6926
945,282600,6095
960,421104,7074
978,346796,6590
998,400076,6595
1022,421983,7142
1034,407855,6706
1056,400118,6571
1073,400083,6601
1109,408306,6861
1135,425747,7345
1174,425660,7450
1185,425882,7509
1200,407810,6852
1209,407893,6641
1243,420673,7757
1264,430261,7136
1275,425786,8419
1309,425514,7470
1341,430674,8052
1368,434118,8457
1389,407860,6812
1415,433997,8394
1428,430837,7594
1455,407812,7222
1495,434159,7883
1518,434539,8486
1525,425783,6528
1611,425655,7109
1634,120451,3484
1641,446454,7709
1661,430591,7553
1686,433591,6731
1704,433584,7873
1743,429400,7605
1778,461791,8236
1808,430640,8473
1833,453539,9455
1860,471868,9072
1889,453954,9578
1906,467785,8780
1927,462950,9069
1946,491159,9630
1978,461766,8918
1997,453923,7248
2031,455092,8313
2058,457448,8600
2088,435459,8150
2114,450203,7945
2194,445010,8396
2207,434978,8908
2216,501983,9286
2248,465065,10814
2262,543339,10645
2320,452232,8277
2337,519240,9991
2365,457384,9642
2384,501869,10144
2394,502208,10338
2419,453298,9495
2429,502151,9338
2446,537953,11391
2472,435081,9506
2496,514913,10330
2527,525768,10420
2571,453273,11634
2586,543070,10349
2597,447755,12314
2624,456544,9956
2637,469834,8761
2651,519058,9756
2701,457574,11742
2726,500903,11424
2741,450641,9418
2766,493316,8994
2804,547874,8391
2822,500207,12341
2842,476205,11876
2857,452027,12895
2872,545338,11001
2901,502205,10949
2920,543779,12114
2942,570810,12278
2957,628329,13246
2968,594555,11595
2980,571656,13035
3018,648717,13174
3027,571825,10994
3032,571824,10994
3049,570615,12418
3064,592621,11474
3074,504083,12744
3093,500208,12284
3118,595014,12810
3156,595191,13674
3180,611177,12426
3194,628452,13217
3218,608671,12489
3260,592696,11550
3294,593934,11227
3334,595005,12212
3346,546991,12497
3376,605137,12141
3406,621199,14132
3438,592433,11467
3448,493193,13243
3451,640463,12944
3467,640447,12956
3495,673633,13736
3503,641712,14240
3519,608475,13245
3545,660271,12739
3553,614177,13314
3573,476594,11024
3613,656252,13425
3631,579328,11281
3635,669221,14275
3651,615698,14251
3678,132962,5753
3680,123108,5577
3681,444053,8222
3690,425504,7379
3699,468866,6952
3711,461366,8253
3719,460235,8432
3723,430002,9232
3733,445229,6707
3750,444107,8426
3768,430362,8572
3774,445255,9077
3784,455148,6723
3789,461788,7518
3806,452161,9018
3814,444418,9436
3827,455940,8805
3834,461213,11860
3847,472500,6704
3848,446941,6029
3851,454463,8451
3855,446858,8940
3870,465583,12811
3888,450209,8109
3890,444355,9158
3899,450255,9150
3904,460262,8274
3911,457128,8568
3918,461316,8063
3919,457530,8813
3925,457451,8040
3931,477601,12084
3946,456414,7627
3952,488664,10388
3956,488973,9314
3961,447730,10369
3966,133743,5840
3967,459441,10533
3986,446275,8660
3990,446246,9547
3998,460344,10834
4011,501959,9366
4021,476686,9655
4032,473248,10346
4042,502097,10397
4046,501939,10134
4051,470490,10813
4057,458108,9402
4063,463748,14411
4081,502077,9307
4092,459979,8661
4094,456061,10010
4107,446332,9869
4117,519009,9814
4118,519009,9783
4137,501851,10365
4151,501253,10342
4159,458696,10329
4161,502014,9329
4163,543466,10657
4171,457769,10588
4177,519236,9896
4191,543237,10617
4199,523254,10642
4201,475467,10603
4207,534368,10263
4210,518770,12863
4217,543430,10652
4222,573584,10864
4230,514980,13743
4242,471906,12091
4256,516758,11991
4261,592256,11458
4275,574836,11613
4282,519377,11649
4291,534909,11481
4305,575589,13185
4313,534581,11514
4323,596840,14019
4331,592897,11418
4338,607962,14083
4346,592738,11535
4350,593619,12693
4362,605365,12230
4366,592098,11594
4369,595834,15732
4375,592700,11496
4387,606281,11680
4395,570563,13338
4400,599093,11767
4407,542357,12359
4417,570559,12872
4419,592507,11499
4420,620442,13267
4432,657680,14412
4441,656217,14007
4444,641516,13132
4448,660285,13251
4452,664463,13705
4456,656467,14169
4462,642758,14060
4473,644177,13798
4475,592492,11609
4482,663664,13872
4487,668030,14226
4492,641420,14266
4510,661281,13691
4513,620438,12606
4516,666784,14119
4520,659267,14179
4523,667291,13767
4529,649143,14463
4532,663990,14319
4537,669005,14675
4540,640465,13010
4544,661268,14989
4548,660615,13551
4552,650331,13143
4560,675923,14931
4566,641385,15885
4570,656765,14842
4575,669399,14919
4578,680118,15288
4580,663611,15398
4585,668751,14841
4587,668677,14333
4588,671271,14432
4590,669342,14861
4592,677960,15409
4594,657121,14962
4598,672759,14446
4600,665789,13555
4602,675963,14967
4604,675986,15017
4606,668908,14950
4607,674072,16095
4608,669923,16057
4610,681351,15841
4611,669309,14837
4612,682990,16058
